model,target,comparator,metric,n_pairs,n_task_clusters,mean_paired_difference,exploratory_cluster_bootstrap_low,exploratory_cluster_bootstrap_high
qwen3:8b,domain_dynamic,no_personalization,provider_input_tokens,8,4,118.5,115.0,122.0
qwen3:8b,domain_dynamic,no_personalization,provider_output_tokens,8,4,-23.625,-49.125,0.0
qwen3:8b,domain_dynamic,no_personalization,latency_ms,8,4,-1517.427625,-3322.499625,-219.91875
qwen3:8b,domain_dynamic,no_personalization,automatic_pass_rate,8,4,0.0,0.0,0.0
qwen3:8b,domain_dynamic,no_personalization,length_termination,8,4,0.0,0.0,0.0
qwen3:8b,domain_dynamic,static_global,reference_coverage,8,4,-0.083333,-0.166667,0.052083
qwen3:8b,domain_dynamic,static_global,concise_proxy,8,4,-0.125,-0.375,0.0
qwen3:8b,domain_dynamic,static_global,word_count,8,4,33.625,12.75,54.5
qwen3:8b,domain_dynamic,static_global,provider_input_tokens,8,4,79.5,76.0,83.0
qwen3:8b,domain_dynamic,static_global,provider_output_tokens,8,4,60.0,16.75,103.25
qwen3:8b,domain_dynamic,static_global,latency_ms,8,4,3902.676375,1455.8815,6349.47125
qwen3:8b,domain_dynamic,static_global,automatic_pass_rate,8,4,0.0,0.0,0.0
qwen3:8b,domain_dynamic,static_global,length_termination,8,4,0.5,0.0,1.0
